Unique,AgeEntry,PolicyTerm,SumAssured
A002594,29,30,5268097
A002595,48,20,4523009
A002596,57,10,3081187
A002597,24,10,2766764
A002598,41,10,7530938
A002599,28,1,9019918
A002600,20,1,5649521
A002601,25,1,2505599
A002602,43,5,8936570
A002603,37,20,9221199
A002604,45,5,2974273
A002605,29,30,9630885
A002606,68,1,6673914
A002607,63,20,5750687
A002608,28,5,2422454
A002609,54,1,1388497
A002610,25,10,6620757
A002611,53,10,3449386
A002612,24,1,3815291
A002613,33,30,4849074
A002614,43,1,346127
A002615,21,30,4928753
A002616,26,10,4389851
A002617,36,1,3942702
A002618,64,10,9081575
A002619,43,5,3303384
A002620,40,5,1540096
A002621,66,10,299682
A002622,31,10,9293543
A002623,66,10,6839739
A002624,43,30,2319160
A002625,35,5,9647707
A002626,41,10,2532321
A002627,54,10,7329237
A002628,32,10,5807869
A002629,47,30,2004369
A002630,66,10,4017851
A002631,62,30,4805142
A002632,50,5,4660426
A002633,22,20,9918468
A002634,28,5,7517751
A002635,29,5,2930598
A002636,43,5,7519554
A002637,61,1,9821565
A002638,28,30,626464
A002639,31,5,5355338
A002640,57,1,4122764
A002641,26,20,8855013
A002642,47,5,6896316
A002643,24,1,8732798
A002644,34,1,8503135
A002645,65,1,4055041
A002646,61,30,364022
A002647,51,1,2273586
A002648,51,5,5059059
A002649,37,1,1612589
A002650,27,30,4952236
A002651,59,30,6205528
A002652,25,30,5354807
A002653,36,30,2273807
A002654,43,5,73754
A002655,43,30,9622434
A002656,48,20,7298205
A002657,50,1,3738216
A002658,26,5,4483704
A002659,42,20,1770832
A002660,31,20,2155197
A002661,23,1,7092644
A002662,22,30,6546545
A002663,58,20,2947477
A002664,52,30,1329864
A002665,25,10,8380499
A002666,49,20,4261224
A002667,63,1,2971152
A002668,61,20,7507363
A002669,65,10,9393966
A002670,50,20,6739076
A002671,37,10,7597913
A002672,53,30,1637733
A002673,59,10,9576855
A002674,47,10,8101583
A002675,51,5,6839022
A002676,34,5,7770106
A002677,41,30,8510204
A002678,43,20,9160024
A002679,62,1,2959120
A002680,25,10,9145083
A002681,38,20,8733134
A002682,48,30,9954272
A002683,19,5,8406895
A002684,34,1,9766602
A002685,64,20,1575385
A002686,49,5,7511914
A002687,49,20,310387
A002688,62,1,3580478
A002689,23,10,1208376
A002690,27,1,8350038
A002691,40,1,302665
A002692,30,1,8886831
A002693,59,30,1396960
A002694,62,30,4440635
A002695,40,20,8452989
A002696,35,20,5172619
A002697,30,5,3470847
A002698,57,30,2097725
A002699,53,5,9318272
A002700,37,5,6471639
A002701,54,5,6168930
A002702,32,5,2941450
A002703,30,5,2979435
A002704,35,10,3480600
A002705,32,1,2589627
A002706,56,5,1344286
A002707,30,30,8074758
A002708,36,1,111244
A002709,64,30,7592758
A002710,41,30,8785271
A002711,67,20,329408
A002712,34,1,9045822
A002713,67,5,6593207
A002714,22,20,4588815
A002715,52,20,9415538
A002716,36,5,7634944
A002717,57,10,8783567
A002718,36,20,7591488
A002719,53,5,5945633
A002720,21,20,3464321
A002721,62,5,4984745
A002722,20,1,2840745
A002723,55,1,2475407
A002724,50,20,2379790
A002725,24,1,9247385
A002726,32,10,8361598
A002727,36,10,1926867
A002728,62,20,3449494
A002729,37,20,6766492
A002730,53,30,4667075
A002731,39,10,1644886
A002732,33,10,9393278
A002733,64,5,9091976
A002734,41,30,4983189
A002735,25,10,595171
A002736,64,5,8500930
A002737,30,5,241842
A002738,62,10,7687797
A002739,62,5,2505213
A002740,31,5,9373751
A002741,24,10,2679002
A002742,44,10,2681500
A002743,31,1,3518659
A002744,63,1,7879833
A002745,19,5,8772844
A002746,53,20,4131584
A002747,31,10,5557707
A002748,36,5,3807040
A002749,54,5,5876624
A002750,54,20,9317202
A002751,33,1,6104259
A002752,27,5,7655364
A002753,20,30,8215487
A002754,57,10,6636795
A002755,19,20,8867328
A002756,64,5,4291149
A002757,69,5,6868724
A002758,48,1,7908268
A002759,57,5,5549525
A002760,26,1,3399155
A002761,54,30,5753421
A002762,40,30,8155718
A002763,50,20,7710531
A002764,52,10,1658428
A002765,52,30,9417272
A002766,22,10,3330684
A002767,53,20,8249622
A002768,47,5,6972666
A002769,45,5,9940333
A002770,47,1,9700328
A002771,65,1,3754587
A002772,44,5,4860665
A002773,31,20,9063454
A002774,54,10,9253341
A002775,52,30,7733635
A002776,61,20,2775833
A002777,27,5,5538842
A002778,35,30,3037495
A002779,62,10,7538280
A002780,52,5,7666963
A002781,34,30,1113159
A002782,50,5,7096635
A002783,69,1,3822586
A002784,67,1,198276
A002785,59,5,2458096
A002786,48,20,4810468
A002787,50,20,7528270
A002788,31,20,5966718
A002789,62,20,7181404
A002790,31,20,62030
A002791,27,20,1016201
A002792,48,5,111916
A002793,21,30,5413972
A002794,67,10,7261135
A002795,24,1,3326296
A002796,57,5,6659650
A002797,69,30,8745921
A002798,58,10,153118
A002799,42,30,1241239
A002800,60,20,8251935
A002801,33,30,6255290
A002802,43,30,6332353
A002803,25,20,5685737
A002804,50,5,6681303
A002805,61,5,6321364
A002806,39,5,6757607
A002807,64,10,1781040
A002808,27,1,2871689
A002809,24,1,4790120
A002810,28,20,2001147
A002811,49,20,3657430
A002812,50,10,8432723
A002813,48,20,5032906
A002814,32,1,3085718
A002815,24,20,4843809
A002816,43,20,8926387
A002817,65,20,9911222
A002818,26,30,2968982
A002819,21,10,9744663
A002820,47,1,9377678
A002821,40,30,5199713
A002822,53,30,7579243
A002823,24,10,3670294
A002824,45,20,9201604
A002825,36,5,6467257
A002826,52,20,8770915
A002827,59,20,5979646
A002828,46,5,1622620
A002829,33,10,844105
A002830,42,10,525244
A002831,36,20,9956700
A002832,35,30,4609963
A002833,32,1,2507706
A002834,60,5,59135
A002835,34,30,1730503
A002836,30,1,6847550
A002837,53,1,2313849
A002838,23,1,6701401
A002839,23,30,7316001
A002840,64,20,7017954
A002841,31,20,6948025
A002842,48,10,5206573
A002843,43,10,4407065
A002844,26,5,9497131
A002845,63,5,1680343
A002846,41,1,5343006
A002847,64,5,2984115
A002848,27,10,1416885
A002849,57,1,4921906
A002850,48,1,9376861
A002851,32,30,8894783
A002852,38,30,699726
A002853,25,30,493544
A002854,52,30,8268493
A002855,44,5,5774914
A002856,38,1,4491132
A002857,52,5,5943043
A002858,57,1,7412311
A002859,42,20,1650956
A002860,68,10,4221003
A002861,62,5,6370685
A002862,41,10,990486
A002863,24,30,2217883
A002864,32,1,1120291
A002865,21,10,6033762
A002866,41,30,4603958
A002867,42,30,2740112
A002868,36,10,3230101
A002869,23,30,3793745
A002870,25,30,6572114
A002871,25,5,5514045
A002872,59,30,4576489
A002873,28,1,4369344
A002874,23,1,5667442
A002875,46,5,1185563
A002876,24,10,4854148
A002877,31,1,1847345
A002878,24,20,4576278
A002879,57,5,814282
A002880,24,5,4948427
A002881,22,5,7575175
A002882,42,20,7455872
A002883,48,10,2491523
A002884,58,5,9865364
A002885,46,5,5934868
A002886,37,1,5186575
A002887,66,1,4323362
A002888,31,5,573448
A002889,25,30,5426290
A002890,51,10,9713158
A002891,28,10,9751896
A002892,53,1,2932762
A002893,67,20,4863647
A002894,32,10,2581730
A002895,52,30,3448033
A002896,53,1,6836954
A002897,49,20,3488709
A002898,23,5,2879411
A002899,41,10,6211169
A002900,59,20,3155465
A002901,24,5,5663498
A002902,36,30,2148966
A002903,50,1,3508875
A002904,22,5,7097290
A002905,46,20,6077842
A002906,33,30,3388931
A002907,42,1,1972273
A002908,61,30,4668231
A002909,45,10,201861
A002910,55,5,2992141
A002911,28,5,2713081
A002912,21,20,3668415
A002913,21,1,3656119
A002914,24,10,3759551
A002915,60,5,147354
A002916,27,1,8089368
A002917,58,5,3334655
A002918,22,5,4216992
A002919,48,20,2847870
A002920,50,10,6236913
A002921,26,20,59474
A002922,19,1,8866479
A002923,68,30,8572643
A002924,66,20,4123829
A002925,56,30,5409985
A002926,24,1,8962653
A002927,47,20,3834048
A002928,30,5,2571897
A002929,45,1,8862902
A002930,38,1,2964392
A002931,38,1,5344126
A002932,50,20,7190123
A002933,43,20,2198844
A002934,57,30,9000910
A002935,43,1,7059226
A002936,33,20,7595246
A002937,22,1,8536841
A002938,22,30,9062450
A002939,40,10,7263567
A002940,40,1,5375559
A002941,69,30,8870037
A002942,38,30,5129227
A002943,45,10,7673087
A002944,28,1,5473596
A002945,48,30,9790806
A002946,32,1,4837391
A002947,23,20,2697859
A002948,61,20,5506418
A002949,50,10,7490448
A002950,30,10,2489014
A002951,59,5,7528005
A002952,67,30,2690456
A002953,29,5,7175693
A002954,58,30,5022161
A002955,32,1,7695956
A002956,37,30,8467614
A002957,27,10,6190848
A002958,25,10,639426
A002959,53,30,1902169
A002960,31,10,2495460
A002961,46,1,7679956
A002962,64,1,6039345
A002963,52,30,5100112
A002964,21,20,103918
A002965,69,5,4229391
A002966,27,5,4439171
A002967,24,20,4906119
A002968,61,5,2619323
A002969,39,10,2056905
A002970,45,20,2766838
A002971,29,10,3966585
A002972,53,1,9569353
A002973,33,10,6231773
A002974,69,20,1536872
A002975,50,1,8773613
A002976,44,5,3199351
A002977,40,1,735211
A002978,65,10,1752266
A002979,39,20,8837976
A002980,35,30,1361767
A002981,46,5,3009499
A002982,31,5,5831612
A002983,48,5,9856045
A002984,68,5,3532179
A002985,48,30,2874986
A002986,55,20,3567561
A002987,63,20,4292839
A002988,23,1,5817911
A002989,65,30,7785320
A002990,57,1,5212138
A002991,55,5,9004149
A002992,44,10,5823304
A002993,50,5,6031738
A002994,61,20,107979
A002995,41,5,1372056
A002996,46,30,8039655
A002997,29,10,1837019
A002998,53,30,6679154
A002999,43,30,6002736
A003000,52,5,8099622
A003001,27,10,1499206
A003002,62,10,9322350
A003003,44,10,4061543
A003004,44,30,450494
A003005,48,30,8659089
A003006,44,10,2001111
A003007,37,5,5002469
A003008,63,30,4109868
A003009,33,1,6550456
A003010,54,10,2782391
A003011,19,1,8691940
A003012,57,30,755268
A003013,63,30,5578529
A003014,52,5,7712086
A003015,65,5,9225072
A003016,21,5,125564
A003017,69,5,9921291
A003018,39,10,793191
A003019,22,1,1610237
A003020,47,10,3482904
A003021,32,20,7669116
A003022,61,10,9342628
A003023,24,1,4621885
A003024,48,30,481393
A003025,46,1,3660413
A003026,51,30,4541296
A003027,24,5,1383544
A003028,38,20,9696963
A003029,28,30,8162204
A003030,59,5,2270854
A003031,50,1,6291066
A003032,68,10,1445592
A003033,49,1,4302400
A003034,44,1,1175017
A003035,43,30,3999936
A003036,58,1,3808690
A003037,41,30,2229276
A003038,42,20,4838701
A003039,28,10,4552095
A003040,30,10,7105082
A003041,31,5,5302445
A003042,47,10,7110618
A003043,59,1,131999
A003044,48,10,806632
A003045,19,20,5439402
A003046,42,20,3303162
A003047,52,30,3687679
A003048,50,5,3259033
A003049,54,20,4524104
A003050,32,30,3758577
A003051,22,1,2819265
A003052,53,20,9948534
A003053,63,20,8089199
A003054,48,30,7981524
A003055,33,20,8763221
A003056,31,30,9063468
A003057,27,1,738067
A003058,42,30,1312534
A003059,24,20,5149228
A003060,47,20,5886237
A003061,27,20,4871980
A003062,69,1,3353178
A003063,27,20,7448066
A003064,65,10,9382307
A003065,52,10,545245
A003066,46,10,8566293
A003067,62,30,4438622
A003068,58,5,7181580
A003069,29,5,168112
A003070,62,10,7024403
A003071,25,5,8538463
A003072,59,1,9449729
A003073,34,5,8786060
A003074,44,5,2372908
A003075,46,5,851121
A003076,65,20,5567175
A003077,49,20,655429
A003078,66,1,6023709
A003079,30,10,4020804
A003080,26,1,6296057
A003081,58,1,5697133
A003082,37,10,8343523
A003083,44,20,1601884
A003084,31,20,7863607
A003085,38,20,9501591
A003086,31,5,5236331
A003087,47,30,9713397
A003088,46,10,9629501
A003089,33,20,6028286
A003090,29,5,2622225
A003091,36,1,2327350
A003092,39,20,5331876
A003093,20,20,8981526
A003094,43,10,3466236
A003095,40,20,5579854
A003096,61,20,8855252
A003097,34,10,6284522
A003098,45,30,6564499
A003099,47,5,7166981
A003100,50,20,4258648
A003101,68,1,3809176
A003102,53,5,5116235
A003103,35,10,6991339
A003104,28,1,4681170
A003105,46,20,2254745
A003106,26,10,8428057
A003107,47,5,5957766
A003108,69,20,8727078
A003109,65,5,6165357
A003110,65,1,7667141
A003111,36,1,2003585
A003112,24,5,5971232
A003113,55,1,1142683
A003114,28,1,5368244
A003115,48,20,2959586
A003116,33,1,5561220
A003117,46,5,2273588
A003118,38,1,5905852
A003119,57,20,7697419
A003120,31,10,1127921
A003121,54,30,2042283
A003122,60,5,996210
A003123,40,30,976485
A003124,61,20,9371262
A003125,58,5,2186508
A003126,58,20,2283380
A003127,51,5,8791103
A003128,26,30,9417025
A003129,63,20,2960245
A003130,68,5,8439147
A003131,33,30,8818088
A003132,59,10,4217297
A003133,25,20,4309934
A003134,69,20,1249565
A003135,59,1,5873307
A003136,20,30,6526461
A003137,26,5,9020973
A003138,20,10,5547857
A003139,58,10,6803156
A003140,26,30,5314709
A003141,21,30,365449
A003142,62,10,178799
A003143,27,10,6928588
A003144,48,5,8239820
A003145,65,30,1560589
A003146,31,5,9281975
A003147,62,30,863831
A003148,56,10,962591
A003149,29,10,8645880
A003150,24,30,7658480
A003151,68,30,6254389
A003152,45,20,9567646
A003153,30,20,3586982
A003154,56,20,8957847
A003155,54,20,1809807
A003156,63,1,3610028
A003157,69,10,2961204
A003158,60,10,3949945
A003159,26,10,5670557
A003160,29,10,163400
A003161,35,5,9137164
A003162,36,5,8710463
A003163,52,10,6635007
A003164,64,20,1435855
A003165,33,1,8145976
A003166,25,1,2968223
A003167,51,10,9838739
A003168,48,20,411819
A003169,34,10,7477643
A003170,48,1,7647475
A003171,20,30,6572548
A003172,47,1,9140966
A003173,39,5,4233266
A003174,19,5,6576706
A003175,34,10,668320
A003176,58,20,3103409
A003177,45,20,7578648
A003178,28,5,1718774
A003179,41,5,5860607
A003180,28,30,4627386
A003181,54,10,7923453
A003182,61,1,1866314
A003183,64,20,6680056
A003184,19,5,7531862
A003185,54,20,9379730
A003186,42,5,3239239
A003187,44,30,1380540
A003188,34,10,131551
A003189,60,10,9210545
A003190,35,30,2709571
A003191,31,30,8677917
A003192,67,30,9759924
A003193,25,10,5475440
A003194,33,10,6119685
A003195,59,20,4466478
A003196,60,20,7340686
A003197,46,1,6955100
A003198,28,20,2613672
A003199,28,30,4070069
A003200,51,30,2671318
A003201,43,10,5950166
A003202,42,30,6918940
A003203,67,30,8748567
A003204,64,20,7712046
A003205,48,20,1396506
A003206,43,5,1266424
A003207,27,20,3372250
A003208,60,20,5538775
A003209,48,5,1501978
A003210,45,30,3740680
A003211,39,20,3054518
A003212,26,5,3802063
A003213,52,30,4314348
A003214,67,20,4294807
A003215,43,5,1282371
A003216,69,1,4508248
A003217,39,20,9335895
A003218,61,1,3480930
A003219,67,10,9111990
A003220,51,20,5253993
A003221,57,10,3496138
A003222,36,5,6766669
A003223,24,10,2197216
A003224,21,5,3346207
A003225,24,20,5724556
A003226,28,1,2457258
A003227,52,20,9806212
A003228,27,30,762827
A003229,63,30,5598793
A003230,22,30,5543426
A003231,40,1,2720817
A003232,21,20,326277
A003233,20,10,9478572
A003234,31,5,1185067
A003235,64,1,7736567
A003236,58,30,1708460
A003237,32,30,276854
A003238,55,30,6955670
A003239,42,5,4188730
A003240,42,5,1525698
A003241,41,20,8380003
A003242,64,30,3044089
A003243,22,5,8782061
A003244,59,10,2704512
A003245,35,10,115595
A003246,48,20,6100321
A003247,22,20,3153356
A003248,36,20,5829830
A003249,31,30,4265649
A003250,38,30,4508467
A003251,53,20,9547019
A003252,30,20,9328906
A003253,24,1,3111577
A003254,44,30,6131224
A003255,64,1,3202260
A003256,26,5,2843787
A003257,62,30,6898275
A003258,59,10,3894594
A003259,44,1,167029
A003260,64,30,3011134
A003261,60,10,4893444
A003262,38,30,9900505
A003263,44,5,5632124
A003264,39,10,1675571
A003265,41,1,2470185
A003266,54,30,9297965
A003267,29,30,8144069
A003268,49,20,114563
A003269,67,30,2268101
A003270,20,20,4728721
A003271,52,30,1585869
A003272,39,30,8728706
A003273,47,20,1780692
A003274,60,20,1360898
A003275,23,1,5087263
A003276,49,10,7616445
A003277,66,20,3938065
A003278,60,30,965882
A003279,58,20,4104227
A003280,37,30,78889
A003281,27,20,7365751
A003282,46,5,9529990
A003283,20,10,444303
A003284,22,5,8266128
A003285,21,30,7793692
A003286,42,20,3405881
A003287,55,20,3325219
A003288,25,30,630217
A003289,29,1,662830
A003290,24,20,2022539
A003291,53,5,3650445
A003292,52,5,6416896
A003293,19,30,8525767
A003294,45,1,8133341
A003295,37,10,6571086
A003296,52,20,2668998
A003297,65,30,1540466
A003298,41,1,4097199
A003299,51,5,5892344
A003300,20,1,1934433
A003301,50,30,9408252
A003302,34,30,9604072
A003303,52,20,1483939
A003304,24,30,8956771
A003305,66,30,6300081
A003306,43,30,9082572
A003307,28,30,1057893
A003308,59,10,261047
A003309,46,10,9790502
A003310,21,5,8595917
A003311,37,30,9641732
A003312,23,10,7899078
A003313,54,10,4105556
A003314,40,5,2581940
A003315,34,30,8421687
A003316,33,1,1235335
A003317,59,5,4835710
A003318,40,20,9910827
A003319,42,10,5263854
A003320,29,5,2912105
A003321,33,1,3024676
A003322,29,30,9167001
A003323,35,20,478309
A003324,67,30,5091645
A003325,45,30,5859751
A003326,66,20,6890305
A003327,19,20,7043870
A003328,20,1,650507
A003329,39,5,2056734
A003330,42,30,2926249
A003331,24,1,3900166
A003332,58,10,676311
A003333,38,1,2911228
A003334,32,20,9799948
A003335,26,5,4187509
A003336,67,10,6806221
A003337,60,1,350766
A003338,56,30,3744941
A003339,20,30,8852699
A003340,47,20,4106668
A003341,32,10,1410640
A003342,59,5,7435411
A003343,63,1,5702144
A003344,39,5,1711402
A003345,58,30,4823869
A003346,41,10,8021113
A003347,46,30,176493
A003348,26,1,9892403
A003349,57,10,247602
A003350,48,1,618438
A003351,49,30,6118459
A003352,30,10,977024
A003353,23,20,5690944
A003354,63,5,1913191
A003355,55,20,6385904
A003356,34,20,8842459
A003357,47,30,7297841
A003358,63,1,2982279
A003359,63,30,6756818
A003360,27,30,538800
A003361,37,1,5226648
A003362,51,20,4148226
A003363,53,5,4510372
A003364,67,30,3198579
A003365,39,30,6947065
A003366,68,10,1102237
A003367,59,1,5991438
A003368,37,30,1500001
A003369,68,30,6078778
A003370,56,30,3488225
A003371,59,10,2154655
A003372,48,10,2874436
A003373,57,30,3751665
A003374,59,20,8789568
A003375,23,1,4051557
A003376,52,1,5705191
A003377,29,20,5401116
A003378,33,5,2251424
A003379,62,5,9602643
A003380,31,10,5890415
A003381,38,1,4734353
A003382,42,5,2867203
A003383,26,1,3674750
A003384,36,30,3993606
A003385,45,1,2412564
A003386,56,10,6741910
A003387,48,20,9493598
A003388,56,20,2926196
A003389,44,1,9228899
A003390,50,1,4304712
A003391,38,1,2618941
A003392,58,10,7371104
A003393,28,1,5817843
A003394,66,10,7670619
A003395,25,5,3261579
A003396,66,5,4776961
A003397,55,10,1452886
A003398,22,10,4472865
A003399,44,10,7578067
A003400,41,20,2577273
A003401,60,1,7755209
A003402,59,1,1799908
A003403,48,1,5005617
A003404,38,30,1242442
A003405,22,20,2712939
A003406,30,10,802245
A003407,64,5,6769416
A003408,28,1,4265861
A003409,24,1,4583271
A003410,44,30,5201800
A003411,36,10,3349913
A003412,29,10,6893778
A003413,41,20,5364000
A003414,35,20,9461253
A003415,27,10,2529297
A003416,60,1,6353060
A003417,63,5,1278241
A003418,65,30,1482435
A003419,64,10,5839805
A003420,30,1,5085814
A003421,23,1,1410959
A003422,27,1,177742
A003423,46,30,2030814
A003424,53,20,8150264
A003425,21,20,7869509
A003426,38,30,4967236
A003427,38,20,1696338
A003428,67,20,9723986
A003429,54,10,3768795
A003430,51,30,7854457
A003431,64,10,6351165
A003432,68,10,5673128
A003433,35,30,6813234
A003434,62,30,2518211
A003435,59,5,8346176
A003436,46,1,5181234
A003437,30,5,3171162
A003438,60,20,3567042
A003439,40,1,3069446
A003440,28,1,4370746
A003441,40,30,4914760
A003442,35,30,4574043
A003443,25,10,2898357
A003444,25,10,973790
A003445,30,5,1258956
A003446,48,5,6201519
A003447,22,30,9055536
A003448,24,1,871828
A003449,63,20,8700787
A003450,68,30,7994536
A003451,20,5,7829385
A003452,68,5,3134469
A003453,34,20,1840693
A003454,45,20,5566184
A003455,19,1,9963692
A003456,61,1,3057237
A003457,62,10,166146
A003458,36,1,9588688
A003459,34,1,6644069
A003460,67,20,9532404
A003461,27,20,2604605
A003462,19,30,4823975
A003463,23,10,4144703
A003464,21,5,7294592
A003465,69,30,7147292
A003466,69,1,836991
A003467,50,30,8594119
A003468,39,5,6763385
A003469,31,20,4152938
A003470,55,5,103311
A003471,62,10,5551375
A003472,45,5,3770319
A003473,63,20,5901254
A003474,43,5,8518314
A003475,34,20,4423427
A003476,56,5,9295535
A003477,25,5,4638830
A003478,54,10,6979020
A003479,39,10,9504299
A003480,20,10,3645852
A003481,32,5,4186965
A003482,57,1,826424
A003483,69,5,1764994
A003484,50,5,7403452
A003485,36,20,9341833
A003486,46,1,7951474
A003487,45,10,3861586
A003488,35,20,595683
A003489,41,5,5073995
A003490,21,30,8955418
A003491,26,10,1915387
A003492,43,1,1916025
A003493,32,10,9664430
A003494,57,10,8789967
A003495,55,10,6511676
A003496,19,1,1681199
A003497,32,30,5253531
A003498,50,10,7621379
A003499,44,20,4347790
A003500,56,5,1431264
A003501,29,30,5998236
A003502,64,30,4372893
A003503,53,10,7582964
A003504,20,30,3371850
A003505,36,1,1668504
A003506,37,10,7255612
A003507,65,20,5224499
A003508,36,1,7006712
A003509,68,10,2890990
A003510,39,30,4833093
A003511,49,30,2070422
A003512,55,5,4603674
A003513,22,10,2857380
A003514,69,5,9772795
A003515,27,1,5157496
A003516,67,20,3415073
A003517,66,1,261015
A003518,26,5,9945543
A003519,21,5,6627745
A003520,22,30,5103449
A003521,46,1,5937624
A003522,43,5,5285762
A003523,62,10,4447002
A003524,68,1,4010097
A003525,33,30,4394072
A003526,66,1,3611279
A003527,49,1,3620512
A003528,40,10,6167506
A003529,66,30,3431621
A003530,35,1,3741264
A003531,62,20,4655838
A003532,37,5,6822424
A003533,27,1,807215
A003534,23,5,7144266
A003535,27,5,2324886
A003536,37,1,8694893
A003537,68,5,2470856
A003538,52,10,1747327
A003539,49,30,3632579
A003540,45,30,4635600
A003541,22,5,5803521
A003542,23,1,8121021
A003543,69,20,7437988
A003544,59,1,9697129
A003545,64,1,6011852
A003546,50,10,6454819
A003547,56,30,8200384
A003548,34,10,9886783
A003549,48,30,4974912
A003550,51,1,1552172
A003551,26,1,7824193
A003552,66,10,4798651
A003553,31,20,3668691
A003554,67,5,3372418
A003555,45,30,9742013
A003556,22,30,3610566
A003557,62,30,527350
A003558,69,1,4376781
A003559,28,10,3683919
A003560,59,20,7171218
A003561,28,1,3065930
A003562,45,5,9183562
A003563,63,5,6338121
A003564,62,30,3919126
A003565,23,10,9533579
A003566,61,10,6149191
A003567,21,5,1941484
A003568,68,5,4089369
A003569,35,20,7913627
A003570,31,10,4110908
A003571,45,10,2497212
A003572,58,5,4444450
A003573,57,10,382241
A003574,26,5,9370645
A003575,38,10,1177162
A003576,68,10,5462129
A003577,55,1,8979705
A003578,54,1,7553793
A003579,69,5,2033540
A003580,55,30,9919526
A003581,27,30,1049218
A003582,44,30,5155905
A003583,46,30,2672381
A003584,52,30,9789172
A003585,28,20,5966476
A003586,36,1,6350716
A003587,47,20,9634540
A003588,58,5,3004282
A003589,20,10,6771197
A003590,19,20,1148605
A003591,56,20,4083461
A003592,59,1,102836
A003593,63,10,1831008
A003594,21,20,9034615
A003595,61,1,4599714
A003596,40,30,5360798
A003597,64,20,8116630
A003598,43,1,2145951
A003599,31,1,341691
A003600,36,20,6513856
A003601,44,30,116695
A003602,51,5,1133032
A003603,24,1,8616611
A003604,26,5,9787332
A003605,69,10,4339617
A003606,68,30,8947683
A003607,43,20,1956697
A003608,34,20,1562909
A003609,26,30,4646286
A003610,31,30,6307639
A003611,66,20,878293
A003612,47,10,8207673
A003613,58,5,2097053
A003614,50,1,4107885
A003615,67,5,804571
A003616,47,20,3761311
A003617,51,1,9035569
A003618,62,5,9614550
A003619,22,30,3139605
A003620,51,10,6047196
A003621,35,5,6830658
A003622,47,20,2114281
A003623,64,20,8016159
A003624,46,20,3597697
A003625,58,5,4862246
A003626,22,1,6181717
A003627,52,30,5701481
A003628,68,20,214252
A003629,64,30,6024732
A003630,25,10,8723620
A003631,34,1,3618149
A003632,32,20,1286126
A003633,49,1,2973358
A003634,52,30,1513363
A003635,66,10,4412246
A003636,54,30,6775064
A003637,64,5,4532111
A003638,24,30,2639041
A003639,57,5,2935859
A003640,49,5,8081430
A003641,50,30,3367837
A003642,41,5,3101899
A003643,53,1,3918435
A003644,40,5,1561770
A003645,42,5,8017008
A003646,19,20,386785
A003647,50,1,2233150
A003648,62,1,1291365
A003649,53,5,4945783
A003650,67,20,5567899
A003651,63,1,6758870
A003652,27,5,910195
A003653,57,20,7077278
A003654,63,30,9272675
A003655,29,1,4996071
A003656,66,20,3561110
A003657,42,1,231647
A003658,68,30,249453
A003659,56,20,8253255
A003660,26,30,1922922
A003661,28,5,6292906
A003662,64,30,6986539
A003663,28,1,7939970
A003664,68,10,8939601
A003665,27,20,4767692
A003666,39,30,6539151
A003667,37,30,6978446
A003668,64,5,9103784
A003669,22,1,1649246
A003670,20,1,9812631
A003671,60,1,4550329
A003672,37,20,4273424
A003673,43,30,5599274
A003674,58,5,4403211
A003675,31,20,7297448
A003676,65,1,5312564
A003677,59,5,6914445
A003678,46,20,7779496
A003679,28,30,5135712
A003680,61,20,3020415
A003681,39,20,4088759
A003682,66,1,1371591
A003683,38,10,3447143
A003684,54,1,2466913
A003685,45,1,3021803
A003686,29,30,9714411
A003687,58,10,301273
A003688,63,5,5316246
A003689,44,5,5333544
A003690,48,1,4549368
A003691,35,10,9727807
A003692,21,5,361292
A003693,40,30,6710530
A003694,37,20,9607569
A003695,34,10,6205592
A003696,34,30,492360
A003697,68,1,885353
A003698,68,20,3342053
A003699,54,5,8393166
A003700,68,5,3747587
A003701,19,1,682657
A003702,47,20,5829583
A003703,38,5,5103181
A003704,27,5,1565744
A003705,65,20,551470
A003706,48,20,7056531
A003707,35,1,4826253
A003708,29,1,5852028
A003709,22,10,2574186
A003710,48,1,314689
A003711,25,5,5103796
A003712,51,5,9601531
A003713,58,20,6413148
A003714,63,10,723545
A003715,53,1,6530216
A003716,51,1,9249278
A003717,49,1,9991052
A003718,31,5,1104495
A003719,47,20,7402741
A003720,38,30,1803878
A003721,43,1,5929637
A003722,48,20,8861665
A003723,49,30,8970737
A003724,65,10,946899
A003725,48,5,4443098
A003726,36,20,201352
A003727,66,5,2834512
A003728,20,20,7522903
A003729,51,1,6716089
A003730,53,10,4224714
A003731,30,10,885881
A003732,50,30,4341196
A003733,32,5,7591505
A003734,51,20,2799649
A003735,63,10,1798755
A003736,64,30,8513938
A003737,54,20,6502383
A003738,31,1,7879724
A003739,40,30,9769635
A003740,42,30,6930862
A003741,32,20,3408596
A003742,45,20,9562881
A003743,32,1,6556736
A003744,62,30,8174342
A003745,68,30,1796771
A003746,28,20,3858951
A003747,48,30,9388211
A003748,62,20,7636741
A003749,51,30,3973660
A003750,27,10,7092937
A003751,35,1,6958972
A003752,43,10,4483091
A003753,68,20,9398229
A003754,43,5,2060808
A003755,42,30,1935365
A003756,40,30,6938432
A003757,52,1,9700826
A003758,47,20,5099557
A003759,43,10,4365626
A003760,46,20,9190192
A003761,58,30,8466080
A003762,36,20,6729514
A003763,59,5,5283089
A003764,26,30,2958542
A003765,54,20,1341727
A003766,39,20,3819800
